Wvlgth,Global_horizn_irradiance
.5070E+03,.1072E+01
.5080E+03,.1038E+01
.5090E+03,.1062E+01
.5100E+03,.1054E+01
.5110E+03,.1083E+01
.5120E+03,.1096E+01
.5130E+03,.1040E+01
.5140E+03,.1036E+01
.5150E+03,.1027E+01
.5160E+03,.1025E+01
.5170E+03,.9126E+00
.5180E+03,.9571E+00
.5190E+03,.1001E+01
.5200E+03,.1038E+01
.5210E+03,.1051E+01
.5220E+03,.1053E+01
.5230E+03,.1034E+01
.5240E+03,.1071E+01
.5250E+03,.1078E+01
.5260E+03,.1030E+01
.5270E+03,.9741E+00
.5280E+03,.1031E+01
.5290E+03,.1089E+01
.5300E+03,.1074E+01
.5310E+03,.1090E+01
.5320E+03,.1052E+01
.5330E+03,.1022E+01
.5340E+03,.1055E+01
.5350E+03,.1080E+01
.5360E+03,.1090E+01
.5370E+03,.1048E+01
.5380E+03,.1064E+01
.5390E+03,.1054E+01
.5400E+03,.1013E+01
.5410E+03,.1022E+01
.5420E+03,.1050E+01
.5430E+03,.1038E+01
.5440E+03,.1058E+01
.5450E+03,.1053E+01
.5460E+03,.1060E+01
.5470E+03,.1058E+01
.5480E+03,.1043E+01
.5490E+03,.1047E+01
.5500E+03,.1062E+01
.5510E+03,.1051E+01
.5520E+03,.1058E+01
.5530E+03,.1038E+01
.5540E+03,.1064E+01
.5550E+03,.1068E+01
.5560E+03,.1055E+01
.5570E+03,.1022E+01
.5580E+03,.1014E+01
.5590E+03,.9965E+00
.5600E+03,.1010E+01
.5610E+03,.1023E+01
.5620E+03,.1016E+01
.5630E+03,.1042E+01
.5640E+03,.1012E+01
.5650E+03,.1005E+01
.5660E+03,.9937E+00
.5670E+03,.1014E+01
.5680E+03,.1004E+01
.5690E+03,.9835E+00
.5700E+03,.9822E+00
.5710E+03,.9736E+00
.5720E+03,.9993E+00
.5730E+03,.1012E+01
.5740E+03,.1011E+01
.5750E+03,.9928E+00
.5760E+03,.9844E+00
.5770E+03,.9948E+00
.5780E+03,.9786E+00
.5790E+03,.9801E+00
.5800E+03,.9976E+00
.5810E+03,.1003E+01
.5820E+03,.1022E+01
.5830E+03,.1024E+01
.5840E+03,.1032E+01
.5850E+03,.1005E+01
.5860E+03,.9839E+00
.5870E+03,.1006E+01
.5880E+03,.9843E+00
.5890E+03,.8768E+00
.5900E+03,.9151E+00
.5910E+03,.9650E+00
.5920E+03,.9545E+00
.5930E+03,.9667E+00
.5940E+03,.9646E+00
.5950E+03,.9443E+00
.5960E+03,.9762E+00
.5970E+03,.9669E+00
.5980E+03,.9640E+00
.5990E+03,.9647E+00
.6000E+03,.9645E+00
.6010E+03,.9555E+00
.6020E+03,.9486E+00
.6030E+03,.9644E+00
.6040E+03,.9799E+00
.6050E+03,.9748E+00
.6060E+03,.9720E+00
.6070E+03,.9827E+00
.6080E+03,.9722E+00
.6090E+03,.9740E+00
.6100E+03,.9657E+00
.6110E+03,.9703E+00
.6120E+03,.9652E+00
.6130E+03,.9524E+00
.6140E+03,.9399E+00
.6150E+03,.9609E+00
.6160E+03,.9285E+00
.6170E+03,.9259E+00
.6180E+03,.9616E+00
.6190E+03,.9521E+00
.6200E+03,.9563E+00
.6210E+03,.9550E+00
.6220E+03,.9354E+00
.6230E+03,.9123E+00
.6240E+03,.9007E+00
.6250E+03,.9060E+00
.6260E+03,.9216E+00
.6270E+03,.9338E+00
.6280E+03,.8811E+00
.6290E+03,.9158E+00
.6300E+03,.8958E+00
.6310E+03,.9149E+00
.6320E+03,.9057E+00
.6330E+03,.9344E+00
.6340E+03,.9246E+00
.6350E+03,.9388E+00
.6360E+03,.9248E+00
.6370E+03,.9387E+00
.6380E+03,.9467E+00
.6390E+03,.9366E+00
.6400E+03,.9278E+00
.6410E+03,.9273E+00
.6420E+03,.9225E+00
.6430E+03,.9347E+00
.6440E+03,.9316E+00
.6450E+03,.9338E+00
.6460E+03,.9139E+00
.6470E+03,.9065E+00
.6480E+03,.9090E+00
.6490E+03,.8921E+00
.6500E+03,.8915E+00
.6510E+03,.9290E+00
.6520E+03,.8967E+00
.6530E+03,.9168E+00
.6540E+03,.9059E+00
.6550E+03,.8746E+00
.6560E+03,.7726E+00
.6570E+03,.7928E+00
.6580E+03,.8858E+00
.6590E+03,.8885E+00
.6600E+03,.8857E+00
.6610E+03,.8807E+00
.6620E+03,.8740E+00
.6630E+03,.8618E+00
.6640E+03,.8806E+00
.6650E+03,.8858E+00
.6660E+03,.8912E+00
.6670E+03,.8933E+00
.6680E+03,.8947E+00
.6690E+03,.9090E+00
.6700E+03,.9054E+00
.6710E+03,.9053E+00
.6720E+03,.8975E+00
.6730E+03,.9108E+00
.6740E+03,.9075E+00
.6750E+03,.8992E+00
.6760E+03,.9051E+00
.6770E+03,.8957E+00
.6780E+03,.8979E+00
.6790E+03,.8833E+00
.6800E+03,.8904E+00
.6810E+03,.8850E+00
.6820E+03,.8843E+00
.6830E+03,.8827E+00
.6840E+03,.8785E+00
.6850E+03,.8861E+00
.6860E+03,.8809E+00
.6870E+03,.6209E+00
.6880E+03,.7103E+00
